common_name,code
GULF KINGFISH,55
FLORIDA POMPANO,40
BLUEFISH,23
SHEEPSHEAD,106
HARDHEAD CATFISH,56
SPOT,117
PINFISH,81
BLACK DRUM,14
SPOTTED SEATROUT,120
SOUTHERN KINGFISH,112
STRIPED MOJARRA,122
BLUE RUNNER,22
SPOTTAIL PINFISH,119
CREVALLE JACK,33
GAFFTOPSAIL CATFISH,43
ATLANTIC CROAKER,1
NORTHERN PUFFER,78
ROUND SCAD,95
FALSE PILCHARD,37
SPANISH SARDINE,115
LADYFISH,67
STRIPED MULLET,123
HERRING FAMILY,57
IRISH POMPANO,61
BLACK MARGATE,16
RED DRUM,86
MARGATE,73
BLUESTRIPED GRUNT,24
GRUNT FAMILY,52
WHITE GRUNT,132
GRAY SNAPPER,48
FRENCH GRUNT,42
JACK FAMILY,62
SAND PERCH,99
SILVER PORGY,108
GREAT BARRACUDA,50
KINGFISH GENUS,65
GRUNT GENUS,53
RAINBOW RUNNER,85
GRASS PORGY,47
SOUTHERN FLOUNDER,111
YELLOW CHUB,135
WHITE MULLET,133
ATLANTIC SPADEFISH,4
PIGFISH,80
COMMON SNOOK,32
ATLANTIC MENHADEN,2
INSHORE LIZARDFISH,60
LANE SNAPPER,68
SPANISH MACKEREL,114
YELLOW JACK,136
YELLOWTAIL SNAPPER,137
BERMUDA CHUB,11
SPOTFIN MOJARRA,118
GRAY TRIGGERFISH,49
SAND DIVER,98
KING MACKEREL,64
DOLPHIN,34
LITTLE TUNNY,71
WAHOO,129
TRIPLETAIL,126
SAILFISH,96
ROCK SEA BASS,94
BLACK SEA BASS,17
WEAKFISH,131
MUTTON SNAPPER,77
SILVER SEATROUT,109
PUFFER GENUS,84
VERMILION SNAPPER,128
GAG,44
SEA BREAM,104
SAILORS CHOICE,97
BLACK GROUPER,15
REDTAIL SCAD,92
HOGFISH,58
BONNETHEAD,25
MOJARRA FAMILY,74
RED GROUPER,87
ATLANTIC THREAD HERRING,5
LITTLEHEAD PORGY,72
COBIA,31
BIGEYE SCAD,13
DRUM FAMILY,35
ROCK HIND,93
SNAPPER FAMILY,110
MULLET GENUS,76
CHECKERED PUFFER,29
WHITEBONE PORGY,134
UNIDENTIFIED (SHARKS),127
SOUTHERN PUFFER,113
BALLYHOO,6
HOUNDFISH,59
BARRACUDA GENUS,9
RED SNAPPER,90
RED PORGY,89
FINETOOTH SHARK,39
BANDED RUDDERFISH,7
GREATER AMBERJACK,51
SAND SEATROUT,100
TOMTATE,125
SEATROUT GENUS,105
GULF FLOUNDER,54
SCALED SARDINE,101
BLACKTIP SHARK,20
STINGRAY FAMILY,121
SILVER PERCH,107
PERMIT,79
FANTAIL MULLET,38
CLEARNOSE SKATE,30
BLACKFIN TUNA,18
CERO,27
SCRAWLED COWFISH,103
LEFTEYE FLOUNDER FAMILY,70
JOLTHEAD PORGY,63
PORKFISH,83
RED HIND,88
BIGEYE,12
PORGY FAMILY,82
FLORIDA SMOOTHHOUND,41
KNOBBED PORGY,66
MULLET FAMILY,75
SCHOOLMASTER,102
BAR JACK,8
SUNFISH GENUS,124
WARMOUTH,130
GIZZARD SHAD,45
CHANNEL CATFISH,28
BLUE CATFISH,21
ALMACO JACK,0
SPINNER SHARK,116
BLACKNOSE SHARK,19
BULL SHARK,26
GLASSEYE SNAPPER,46
ATLANTIC SHARPNOSE SHARK,3
DUSKY SHARK,36
BEARDED BROTULA,10
LARGEMOUTH BASS,69
REDEAR SUNFISH,91
